Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CO2,ABW,Aruba,0.02521378909,0.02882775223,0.03947210769,0.04428943855,0.04346914766,0.05739627301,0.05642290951,0.06709976204,0.07193698228,0.07591903791,0.07977222621,0.08289314139,0.08182398072,0.08442884396,0.09859185911,0.1041388221,0.1137416724,0.1286948617,0.1428473208,0.1974178261,0.200852584,0.226240584,0.2505677385,0.2513724207,0.2856012752,0.3141848746,0.2065578689,0.3427416687,0.3509141307,0.3555122501,0.2685750445,0.2714639686,0.2965629013,0.3419258985,0.3488889071,0.3848394267,0.4236865291,0.4575327506,0.4539935438,0.4927418079,0.4822069036,0.2901806778,0.3748574242,0.4123073055,0.4406892147,0.4620255929,0.4848886069,0.4665916123,0.4658812093,0.5579172665,0.4525530635,0.5006352474,0.5026932552,0.5300260977
CO2,AFG,Afghanistan,1.73392027,1.733709906,1.693584478,1.733904787,2.190318066,2.02896685,1.89264158,2.282574455,1.934106762,2.059302221,2.006422982,2.259933489,2.309600549,3.001698788,3.224699088,4.123374917,3.941638537,3.272774528,3.087913325,2.895958996,2.922237037,2.847006214,1.819947845,1.784792523,1.68515192,1.462995999,1.417185939,1.384648236,1.420416757,1.375520279,1.016059431,0.9446830216,0.9422655887,1.007964175,0.8928877885,1.266340324,1.408288105,2.009564225,3.833382772,6.082787222,7.788893115,11.40871139,9.767755639,8.300021704,7.825740854,8.346520776,7.527593714,8.066138489,7.932004694,7.249068567,7.054132973,7.930781033,8.25991526,8.70734983
CO2,AGO,Angola,8.933899038,8.519512895,10.36610427,11.34699566,11.80656082,10.90465296,7.291981003,12.03347322,14.21626955,14.17940432,14.31612974,13.23227059,12.77150833,13.2212928,13.35655143,14.1037418,14.24618589,14.50164119,14.94080361,15.10349834,11.23070675,11.78046209,12.11898155,12.14162937,11.49035212,12.95329566,15.67875885,16.40211133,17.03644627,18.03144952,16.5119082,16.19230309,15.91544045,17.32963226,17.6902609,15.63885114,16.32024668,17.0558181,19.11943047,21.08885607,22.73989087,23.65003801,24.71617744,28.53421971,30.88726366,33.09749892,31.28580272,27.94209886,26.25888652,27.57321601,20.71091767,25.26283179,27.35303812,28.22992761
CO2,AIA,Anguilla,0.002177586704,0.002177689343,0.002273190243,0.0021184805,0.002359836201,0.002593653557,0.002444145321,0.002546772184,0.002911352856,0.003222755692,0.004422364427,0.006649426519,0.007028416285,0.006098383151,0.005810647072,0.003680496482,0.003164626304,0.006136320544,0.005808207599,0.006160060378,0.006126522614,0.007592020011,0.007915973029,0.009965647197,0.01314511438,0.01640989423,0.01622794503,0.01357870845,0.01246407603,0.0117665002,0.01554755631,0.01592657709,0.01087533302,0.01412390075,0.01348946435,0.01367975462,0.0128310962,0.012373733,0.01528787141,0.02018064968,0.02402448408,0.02602830702,0.02604373812,0.02796126932,0.02791705027,0.02802663636,0.02836258013,0.02908662171,0.02824729512,0.02760442234,0.02280365546,0.02201782653,0.02186133966,0.02295554606
CO2,AIR,International Aviation,169.9003985,169.9003985,179.7595311,187.4944063,180.478129,174.5824705,174.9079827,190.7985051,197.8662816,204.56754,203.4582729,202.6665081,210.0563961,211.936887,219.8777488,225.9081363,248.1301413,262.3325178,277.1728438,291.1174265,260.6885964,253.6927113,262.1585581,267.3065886,281.0604083,291.7711661,303.6968869,318.3362545,328.9781409,342.9629092,355.3234824,349.1892906,369.5032558,367.4129017,403.086621,429.0246419,444.324424,459.2762302,466.3894355,443.7853586,466.6570758,480.1178138,483.6766243,492.2572286,507.5057608,536.2136805,560.1738389,589.9193153,615.9375423,625.1414353,298.6556776,331.3174247,411.4748661,491.6323076
CO2,ALB,Albania,4.844988068,4.838128768,5.518291373,4.951942493,5.329617357,5.424117634,5.796572813,6.200933063,6.820995331,7.936703043,8.073499079,7.072604242,7.273021913,7.792231446,8.431155879,8.073940436,8.151358862,8.292707712,8.199593384,7.905921454,6.644969301,4.379473083,2.363037223,2.222701222,2.344087608,2.069963525,2.054932915,1.58047575,1.914674362,3.086587472,3.232531279,3.439287771,4.006358581,4.211217156,4.414043142,4.148476443,4.134680725,4.244375822,4.194610157,4.274597464,4.556850488,4.988210526,4.532852943,4.769330231,5.095835784,4.863525143,4.530278883,5.341515428,5.305582509,4.953544001,4.560776421,5.039333111,4.609009805,4.591827764
CO2,ANT,Curaçao,14.51578265,14.51579879,14.11395954,15.60867397,14.12401296,10.19675057,10.84914635,10.98319572,9.271818134,9.182436608,8.677756741,8.042036703,7.295812742,6.828843547,6.690712621,4.499205783,4.29708304,3.965313306,3.45935116,2.956711991,2.666390091,2.765856955,2.883424409,2.366961133,2.66504882,2.671563419,2.700203498,5.2994852,5.479720937,5.445561463,5.667477988,5.656304712,5.416997032,5.433220785,5.636241812,5.91286189,5.781282678,6.260054689,6.199098592,5.87853952,4.288051276,5.523743774,5.607056934,5.141066643,5.669078316,5.741944054,4.973774923,4.012867779,3.236726024,2.511433241,2.05481112,2.241320701,2.32423989,2.434138439
CO2,ARE,United Arab Emirates,19.46478161,25.42981242,27.7473592,35.84360207,36.01068365,36.67944373,45.58099402,45.8764465,52.61138915,37.87950522,41.13848048,38.05548425,38.06503248,36.7927764,49.9812212,51.81151718,50.23406905,52.0698484,50.98923744,56.93602545,56.88756715,64.72221568,62.52240874,65.91412081,72.56852896,77.40254297,80.89082962,84.30160977,86.47813447,89.15244885,88.45692969,101.2593097,103.5183974,108.8195561,115.0196636,122.4618737,127.1976426,137.1440913,164.2518856,165.3368724,171.9537309,177.2644763,185.020878,194.92309,197.9033277,206.6195196,212.2196595,204.2580154,187.0554933,197.6422573,195.49085,201.3250687,206.8994905,205.9913033
CO2,ARG,Argentina,87.5691423,87.89084312,89.71539024,92.8004195,93.28015601,90.91669608,95.58786407,99.51945014,98.57955059,104.2682919,101.8262139,98.79682861,98.00691407,101.4393554,100.8356328,94.21036792,101.6382473,107.2493831,111.0341298,107.776298,100.1876375,105.5928245,107.5110365,111.2743475,114.6832914,116.2683518,126.5705614,130.9263801,138.0079057,139.9386784,136.7616074,131.3470509,124.055033,135.244335,149.7328229,153.6797539,162.6176685,173.1560629,179.3129425,164.9145738,177.404229,184.8744807,188.8657879,193.2397199,190.0820576,196.2521887,194.1701706,191.3791885,189.8389393,183.2869034,170.1202783,190.6620207,193.4816377,183.7784214
CO2,ARM,Armenia,10.09948357,10.11547721,10.82885302,11.76852261,12.68219168,13.84218973,14.23224023,14.76781487,15.37862564,15.95898975,17.02383128,17.43609571,17.97576867,18.02973987,18.1670937,18.25174887,18.44227776,18.64010413,18.545438,18.12652075,20.7801266,21.59813756,10.97656687,5.115271474,2.808322205,3.541206317,2.594064983,3.338394856,3.472604987,3.104203003,3.569612355,3.633318269,3.101336185,3.470678865,3.759019339,4.462479612,4.44546886,5.154026875,5.648247601,4.50181369,4.298827714,4.903744031,5.669202578,5.492409107,5.760251117,5.61664906,5.374288737,5.688557231,5.950878354,6.424075918,6.913823302,7.509184664,7.289276174,7.725144396
CO2,ATG,Antigua and Barbuda,0.1023544219,0.1022698791,0.1245684846,0.125665161,0.1119424555,0.1355440589,0.1228687607,0.1356734475,0.1357028811,0.134210808,0.1326783762,0.116280524,0.1476080198,0.08533510243,0.1042985689,0.1046581085,0.1106690885,0.1462402035,0.157872775,0.1618243317,0.1636623599,0.1643744355,0.1655230304,0.1613397678,0.1757353581,0.1838855351,0.1824192883,0.1929824906,0.1975855844,0.2001790325,0.1353852246,0.1323435249,0.1497141974,0.1632820594,0.1659119111,0.1720364249,0.1958333928,0.2143206844,0.2307288202,0.2662408266,0.2784913337,0.2121791247,0.2260775885,0.2593296018,0.2795385239,0.2908090233,0.3147184839,0.2769804926,0.2949430854,0.3403226472,0.2759004898,0.3052081422,0.3064547585,0.3231056183
CO2,AUS,Australia,160.376939,162.1077229,167.9569496,177.3184756,186.8463146,193.5950414,196.3840386,209.6638004,205.9885888,211.8454117,222.0146875,222.9747375,229.262384,217.7333539,223.5190045,237.9354424,238.3952806,249.5845186,258.3833076,274.1612032,277.7122816,279.7336264,283.1129244,287.0239277,292.3755586,302.6922719,312.6712518,322.3709458,342.1087366,348.1126583,353.8696869,360.4081498,368.6209057,368.1149658,381.9420118,384.0856836,390.1512578,400.6652897,404.285121,410.2594192,415.2731165,412.8095962,413.319276,405.6523135,396.2575236,400.5424269,408.5060579,410.8370885,409.2066671,407.8603828,392.5190523,384.6772393,374.878511,373.6164239
CO2,AUT,Austria,52.96721273,55.63325031,57.8461379,61.15604838,58.66761229,56.34271259,61.67891549,58.96580494,60.86848509,63.30834978,61.45292233,57.99183826,55.83641732,55.85222396,57.65948979,59.13142615,57.92302836,58.50750055,57.11059076,57.11390049,61.55928585,65.50043105,60.50950778,60.56476185,61.09132285,64.05313932,67.97235869,67.53029229,68.0915461,66.22539263,66.690721,71.37599689,73.21597297,78.16556633,79.6051103,80.40999827,78.26796623,75.43818094,75.23685403,68.05632505,73.79578048,72.19468653,69.0271326,69.61267982,65.9290433,67.36913049,67.78251771,70.10633473,67.18684315,68.53324515,62.59975826,66.17532652,61.22371312,58.81513302
CO2,AZE,Azerbaijan,24.22665851,24.24945472,25.87103855,28.04671901,30.22881302,32.7150656,33.74142794,34.96790355,36.96608742,38.38408659,40.424169,41.63826962,42.41704705,43.27449046,44.05782832,44.78959255,45.66522099,46.63799986,46.5325237,46.66658582,56.12432141,54.8340585,44.90130282,39.38485712,34.51198093,33.87986315,28.40179858,27.42024981,27.37685505,27.39260375,28.79440117,27.71697659,27.48627547,29.7752966,29.50089779,31.21917083,31.93930546,28.92078521,32.23057404,27.9822228,26.63581579,29.46869723,32.28056373,33.21128433,34.72413545,34.52235066,34.41485295,34.22971861,34.7618745,36.98133803,35.40402622,37.43458962,39.42684169,42.76620028
CO2,BDI,Burundi,0.05827364109,0.0583721924,0.0581812094,0.05998420345,0.06416276405,0.06642917931,0.06869155802,0.07100177919,0.07220657541,0.0821823552,0.0810967246,0.08829715221,0.07365223707,0.08972372605,0.1063320925,0.1062991493,0.1115377764,0.1620797199,0.2295864004,0.2437565141,0.200389002,0.2828810531,0.22278046,0.2479375487,0.2567801924,0.2527613966,0.2716503746,0.2716635387,0.2867823199,0.2953319914,0.2947375168,0.2343622534,0.2214302321,0.1834415879,0.2184765685,0.1839072769,0.2323306463,0.3718790551,0.2214079888,0.2227823073,0.3211863433,0.4188941775,0.4040865128,0.4569400569,0.4064560746,0.4317975931,0.4819696495,0.5361766993,0.7208918483,0.794169292,0.8821296371,0.887362176,0.8396098942,0.8443332187
CO2,BEL,Belgium,139.2567317,129.1388995,140.7475856,146.1457639,144.9776825,127.6902673,137.3341983,134.7521565,139.1764848,148.4196727,137.7778999,125.869239,118.1268212,108.440302,111.2359283,108.8066043,109.3707814,109.4755481,111.7281145,112.8030134,115.8085778,119.731225,117.6272944,115.6966759,122.1111771,122.4165065,127.4090887,124.4184765,127.4042401,123.0366827,124.9696408,125.934014,118.493431,123.371641,121.9810692,119.144745,116.1912618,113.0234232,114.3816935,107.4038283,114.9770494,104.5725378,103.0863321,104.4224972,97.72446043,102.3790918,101.2609617,99.70038751,100.0981177,99.88248411,92.26702012,96.25100609,89.73926464,84.30606458
CO2,BEN,Benin,0.3113724095,0.3616770792,0.4616023657,0.4764641798,0.4890119116,0.5486346532,0.3659447015,0.4271446397,0.4540841453,0.5095106157,0.5353703572,0.4450370749,0.5165950847,0.5096968464,0.5235742566,0.616659868,0.5528112624,0.5021194735,0.4545505858,0.4007727172,0.3970571061,0.3489452207,0.3792935363,0.3841137988,0.3903386763,0.3966784202,1.074254538,1.363804566,1.314386061,1.440316701,1.544937583,1.856447686,2.142009505,2.399165346,2.557705839,2.800856002,3.858108073,4.39684862,4.364069632,4.682008781,5.079215026,4.958798054,4.723056044,4.969130447,5.458215505,5.808702834,7.145520407,7.241508566,8.246232777,8.027902897,8.574731208,6.457829066,6.61897968,6.437895655
CO2,BFA,Burkina Faso,0.226299263,0.2265558817,0.2256849544,0.233188562,0.2510270032,0.2606687768,0.2700640309,0.2793360253,0.2840298485,0.3262253353,0.3206430081,0.3077588977,0.2870749392,0.3134276355,0.3035027055,0.2936024824,0.3574519185,0.5075371785,0.4979800026,0.4125669021,0.3262795993,0.4591796834,0.3929560387,0.4121891425,0.4491113845,0.4612980137,0.5112769374,0.8170838452,0.7711603345,0.7974732321,0.8787637474,1.013591873,1.075993938,1.19557692,1.067157407,1.137876463,1.158722693,1.629360019,1.906404523,1.845366007,1.969453109,2.234415044,2.612927158,3.07622519,2.759309049,3.904619951,3.897365031,4.45857542,4.970310468,5.518253341,5.519527376,5.932194502,6.143882265,5.999250483
CO2,BGD,Bangladesh,3.338416468,3.345172628,3.469355288,4.098257342,4.315274817,5.172862256,5.550514988,5.776929758,6.196757496,6.908386318,7.717407066,7.796507064,8.424679884,9.061472527,8.771250847,9.795641329,10.78249674,11.88912285,12.74036279,14.07817174,14.76561225,14.06779422,15.73150982,16.95128229,17.99933331,21.77703304,22.08424067,23.95567911,24.47789473,26.12859553,26.97384453,32.62930639,34.34017038,35.98284809,37.90267336,40.37474356,43.48223433,46.20702286,51.31688579,55.11514849,60.75515834,65.29145409,69.85748817,72.06287344,76.63688403,85.43058211,93.97635849,101.0248537,105.484995,108.0750612,102.4574715,116.68125,124.0779079,124.7933633
CO2,BGR,Bulgaria,69.06294448,69.00051839,71.31225276,72.29266432,73.16042998,78.26697412,79.14234103,82.14885503,88.20779036,91.48491799,94.60597022,90.7195299,92.59199466,91.65135816,90.11226434,92.27851727,93.37615166,93.71496871,92.85761784,91.70152081,80.0521788,64.91880245,62.0219756,62.83431817,60.02249146,61.3665126,61.66027158,59.32844971,56.85478829,50.11857369,48.17475517,50.42220915,47.59452488,53.46018826,51.4608682,52.488064,54.03327436,57.636896,54.56077118,46.53424853,49.50765645,54.78256437,49.91505073,44.45094818,47.31484793,49.85420893,47.12241811,49.27952294,46.23311248,44.57308459,39.49088267,45.78548242,50.06813094,39.79256593
CO2,BHR,Bahrain,2.978116413,2.99684836,3.585204946,4.523427742,5.331117251,5.501074356,5.968610635,6.58937988,6.973984418,7.441169553,7.54299908,8.075793578,8.508182951,8.834742787,9.044755066,9.6478909,10.9691537,10.72129574,11.31499154,11.42045227,11.99693725,11.5692434,13.61528015,14.72774675,14.99959808,15.24318926,15.7942455,16.25963671,17.23447311,17.32587905,17.77145182,18.40253955,19.22692236,19.89605788,19.92063645,23.37016265,25.44895226,25.85191373,27.66894597,27.65557346,28.83526298,29.00352742,30.21634438,32.1308364,33.30217834,33.47552518,33.46178679,33.75592213,33.82400808,36.84731099,36.84452497,37.27558717,36.28908617,37.42557341
