Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CO2,ABW,Aruba,"25,213,789","28,827,752","39,472,108","44,289,439","43,469,148","57,396,273","5,642,291","67,099,762","71,936,982","75,919,038","79,772,226","82,893,141","81,823,981","84,428,844","98,591,859","104,138,822","113,741,672","128,694,862","142,847,321","197,417,826","200,852,584","226,240,584","250,567,739","251,372,421","285,601,275","314,184,875","206,557,869","342,741,669","350,914,131","35,551,225","268,575,044","271,463,969","296,562,901","341,925,898","348,888,907","384,839,427","423,686,529","457,532,751","453,993,544","492,741,808","482,206,904","290,180,678","374,857,424","412,307,305","440,689,215","462,025,593","484,888,607","466,591,612","465,881,209","557,917,266","452,553,064","500,635,247","502,693,255","530,026,098"
CO2,AFG,Afghanistan,"173,392,027","1,733,709,906","1,693,584,478","1,733,904,787","2,190,318,066","202,896,685","189,264,158","2,282,574,455","1,934,106,762","2,059,302,221","2,006,422,982","2,259,933,489","2,309,600,549","3,001,698,788","3,224,699,088","4,123,374,917","3,941,638,537","3,272,774,528","3,087,913,325","2,895,958,996","2,922,237,037","2,847,006,214","1,819,947,845","1,784,792,523","168,515,192","1,462,995,999","1,417,185,939","1,384,648,236","1,420,416,757","1,375,520,279","1,016,059,431","944,683,022","942,265,589","1,007,964,175","892,887,788","1,266,340,324","1,408,288,105","2,009,564,225","3,833,382,772","6,082,787,222","7,788,893,115","1,140,871,139","9,767,755,639","8,300,021,704","7,825,740,854","8,346,520,776","7,527,593,714","8,066,138,489","7,932,004,694","7,249,068,567","7,054,132,973","7,930,781,033","825,991,526","870,734,983"
CO2,AGO,Angola,"8,933,899,038","8,519,512,895","1,036,610,427","1,134,699,566","1,180,656,082","1,090,465,296","7,291,981,003","1,203,347,322","1,421,626,955","1,417,940,432","1,431,612,974","1,323,227,059","1,277,150,833","132,212,928","1,335,655,143","141,037,418","1,424,618,589","1,450,164,119","1,494,080,361","1,510,349,834","1,123,070,675","1,178,046,209","1,211,898,155","1,214,162,937","1,149,035,212","1,295,329,566","1,567,875,885","1,640,211,133","1,703,644,627","1,803,144,952","165,119,082","1,619,230,309","1,591,544,045","1,732,963,226","176,902,609","1,563,885,114","1,632,024,668","170,558,181","1,911,943,047","2,108,885,607","2,273,989,087","2,365,003,801","2,471,617,744","2,853,421,971","3,088,726,366","3,309,749,892","3,128,580,272","2,794,209,886","2,625,888,652","2,757,321,601","2,071,091,767","2,526,283,179","2,735,303,812","2,822,992,761"
CO2,AIA,Anguilla,"2,177,587","2,177,689","227,319","211,848","2,359,836","2,593,654","2,444,145","2,546,772","2,911,353","3,222,756","4,422,364","6,649,427","7,028,416","6,098,383","5,810,647","3,680,496","3,164,626","6,136,321","5,808,208","616,006","6,126,523","759,202","7,915,973","9,965,647","13,145,114","16,409,894","16,227,945","13,578,708","12,464,076","117,665","15,547,556","15,926,577","10,875,333","14,123,901","13,489,464","13,679,755","12,831,096","12,373,733","15,287,871","2,018,065","24,024,484","26,028,307","26,043,738","27,961,269","2,791,705","28,026,636","2,836,258","29,086,622","28,247,295","27,604,422","22,803,655","22,017,827","2,186,134","22,955,546"
CO2,AIR,International Aviation,"1,699,003,985","1,699,003,985","1,797,595,311","1,874,944,063","180,478,129","1,745,824,705","1,749,079,827","1,907,985,051","1,978,662,816","20,456,754","2,034,582,729","2,026,665,081","2,100,563,961","211,936,887","2,198,777,488","2,259,081,363","2,481,301,413","2,623,325,178","2,771,728,438","2,911,174,265","2,606,885,964","2,536,927,113","2,621,585,581","2,673,065,886","2,810,604,083","2,917,711,661","3,036,968,869","3,183,362,545","3,289,781,409","3,429,629,092","3,553,234,824","3,491,892,906","3,695,032,558","3,674,129,017","403,086,621","4,290,246,419","444,324,424","4,592,762,302","4,663,894,355","4,437,853,586","4,666,570,758","4,801,178,138","4,836,766,243","4,922,572,286","5,075,057,608","5,362,136,805","5,601,738,389","5,899,193,153","6,159,375,423","6,251,414,353","2,986,556,776","3,313,174,247","4,114,748,661","4,916,323,076"
CO2,ALB,Albania,"4,844,988,068","4,838,128,768","5,518,291,373","4,951,942,493","5,329,617,357","5,424,117,634","5,796,572,813","6,200,933,063","6,820,995,331","7,936,703,043","8,073,499,079","7,072,604,242","7,273,021,913","7,792,231,446","8,431,155,879","8,073,940,436","8,151,358,862","8,292,707,712","8,199,593,384","7,905,921,454","6,644,969,301","4,379,473,083","2,363,037,223","2,222,701,222","2,344,087,608","2,069,963,525","2,054,932,915","158,047,575","1,914,674,362","3,086,587,472","3,232,531,279","3,439,287,771","4,006,358,581","4,211,217,156","4,414,043,142","4,148,476,443","4,134,680,725","4,244,375,822","4,194,610,157","4,274,597,464","4,556,850,488","4,988,210,526","4,532,852,943","4,769,330,231","5,095,835,784","4,863,525,143","4,530,278,883","5,341,515,428","5,305,582,509","4,953,544,001","4,560,776,421","5,039,333,111","4,609,009,805","4,591,827,764"
CO2,ANT,Curaçao,"1,451,578,265","1,451,579,879","1,411,395,954","1,560,867,397","1,412,401,296","1,019,675,057","1,084,914,635","1,098,319,572","9,271,818,134","9,182,436,608","8,677,756,741","8,042,036,703","7,295,812,742","6,828,843,547","6,690,712,621","4,499,205,783","429,708,304","3,965,313,306","345,935,116","2,956,711,991","2,666,390,091","2,765,856,955","2,883,424,409","2,366,961,133","266,504,882","2,671,563,419","2,700,203,498","52,994,852","5,479,720,937","5,445,561,463","5,667,477,988","5,656,304,712","5,416,997,032","5,433,220,785","5,636,241,812","591,286,189","5,781,282,678","6,260,054,689","6,199,098,592","587,853,952","4,288,051,276","5,523,743,774","5,607,056,934","5,141,066,643","5,669,078,316","5,741,944,054","4,973,774,923","4,012,867,779","3,236,726,024","2,511,433,241","205,481,112","2,241,320,701","232,423,989","2,434,138,439"
CO2,ARE,United Arab Emirates,"1,946,478,161","2,542,981,242","277,473,592","3,584,360,207","3,601,068,365","3,667,944,373","4,558,099,402","458,764,465","5,261,138,915","3,787,950,522","4,113,848,048","3,805,548,425","3,806,503,248","367,927,764","499,812,212","5,181,151,718","5,023,406,905","520,698,484","5,098,923,744","5,693,602,545","5,688,756,715","6,472,221,568","6,252,240,874","6,591,412,081","7,256,852,896","7,740,254,297","8,089,082,962","8,430,160,977","8,647,813,447","8,915,244,885","8,845,692,969","1,012,593,097","1,035,183,974","1,088,195,561","1,150,196,636","1,224,618,737","1,271,976,426","1,371,440,913","1,642,518,856","1,653,368,724","1,719,537,309","1,772,644,763","185,020,878","19,492,309","1,979,033,277","2,066,195,196","2,122,196,595","2,042,580,154","1,870,554,933","1,976,422,573","19,549,085","2,013,250,687","2,068,994,905","2,059,913,033"
CO2,ARG,Argentina,"875,691,423","8,789,084,312","8,971,539,024","928,004,195","9,328,015,601","9,091,669,608","9,558,786,407","9,951,945,014","9,857,955,059","1,042,682,919","1,018,262,139","9,879,682,861","9,800,691,407","1,014,393,554","1,008,356,328","9,421,036,792","1,016,382,473","1,072,493,831","1,110,341,298","107,776,298","1,001,876,375","1,055,928,245","1,075,110,365","1,112,743,475","1,146,832,914","1,162,683,518","1,265,705,614","1,309,263,801","1,380,079,057","1,399,386,784","1,367,616,074","1,313,470,509","124,055,033","135,244,335","1,497,328,229","1,536,797,539","1,626,176,685","1,731,560,629","1,793,129,425","1,649,145,738","177,404,229","1,848,744,807","1,888,657,879","1,932,397,199","1,900,820,576","1,962,521,887","1,941,701,706","1,913,791,885","1,898,389,393","1,832,869,034","1,701,202,783","1,906,620,207","1,934,816,377","1,837,784,214"
CO2,ARM,Armenia,"1,009,948,357","1,011,547,721","1,082,885,302","1,176,852,261","1,268,219,168","1,384,218,973","1,423,224,023","1,476,781,487","1,537,862,564","1,595,898,975","1,702,383,128","1,743,609,571","1,797,576,867","1,802,973,987","181,670,937","1,825,174,887","1,844,227,776","1,864,010,413","18,545,438","1,812,652,075","207,801,266","2,159,813,756","1,097,656,687","5,115,271,474","2,808,322,205","3,541,206,317","2,594,064,983","3,338,394,856","3,472,604,987","3,104,203,003","3,569,612,355","3,633,318,269","3,101,336,185","3,470,678,865","3,759,019,339","4,462,479,612","444,546,886","5,154,026,875","5,648,247,601","450,181,369","4,298,827,714","4,903,744,031","5,669,202,578","5,492,409,107","5,760,251,117","561,664,906","5,374,288,737","5,688,557,231","5,950,878,354","6,424,075,918","6,913,823,302","7,509,184,664","7,289,276,174","7,725,144,396"
