Country;Record;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Austria;CBA_GgCO2eq;1.064419e+05;1.076709e+05;1.088998e+05;1.073504e+05;1.105703e+05;1.155490e+05;1.184961e+05;1.170714e+05;1.163323e+05;1.150719e+05;1.148296e+05;1.160183e+05;1.161634e+05;1.248983e+05;1.282046e+05;1.289403e+05;1.294808e+05;1.292146e+05;1.290015e+05;1.191172e+05;1.234159e+05;1.229640e+05;1.202400e+05;1.196921e+05;1.141251e+05;1.159339e+05;6.854462e+04;7.583135e+04;1.134138e+05;1.088386e+05;1.074082e+05;1.069738e+05;1.046011e+05
Azerbaijan;CBA_GgCO2eq;9.875926e+04;8.531478e+04;7.187031e+04;6.539155e+04;5.668717e+04;5.940679e+04;5.353077e+04;4.945968e+04;4.852157e+04;4.805703e+04;4.629659e+04;4.612368e+04;4.608947e+04;4.533279e+04;4.666539e+04;4.778730e+04;4.419772e+04;4.375847e+04;5.035213e+04;5.043757e+04;4.942049e+04;4.959012e+04;5.108608e+04;5.292904e+04;5.467950e+04;5.556833e+04;6.361415e+04;6.050322e+04;6.200235e+04;6.470855e+04;5.898877e+04;6.051180e+04;6.116201e+04
Bahamas;CBA_GgCO2eq;4.147290e+03;4.056631e+03;3.965971e+03;3.893933e+03;4.006177e+03;4.026061e+03;3.946069e+03;3.740690e+03;4.061380e+03;4.093891e+03;4.178018e+03;4.052440e+03;4.000086e+03;3.907195e+03;3.909107e+03;3.876239e+03;4.010382e+03;4.004582e+03;4.454720e+03;3.621545e+03;4.336645e+03;3.916973e+03;3.992579e+03;4.859467e+03;4.356488e+03;4.003560e+03;2.873229e+03;3.218360e+03;3.291745e+03;3.294069e+03;3.201054e+03;3.201716e+03;3.216727e+03
Bahrain;CBA_GgCO2eq;2.694661e+04;2.714968e+04;2.735275e+04;3.080952e+04;3.031638e+04;2.957075e+04;3.095104e+04;3.033438e+04;3.205932e+04;3.287999e+04;3.208719e+04;2.900940e+04;2.969613e+04;2.939994e+04;2.916424e+04;3.088196e+04;2.899012e+04;3.345399e+04;3.565963e+04;3.695618e+04;3.684774e+04;3.693019e+04;3.800605e+04;4.349059e+04;4.261962e+04;4.333723e+04;3.260270e+04;3.322260e+04;3.038000e+04;3.026453e+04;3.309139e+04;2.761946e+04;2.984191e+04
Bangladesh;CBA_GgCO2eq;5.331947e+04;5.295024e+04;5.258102e+04;5.318252e+04;5.541327e+04;6.189560e+04;6.502557e+04;6.760888e+04;6.862269e+04;7.390246e+04;7.696046e+04;8.316498e+04;8.543019e+04;8.970350e+04;9.296244e+04;9.649050e+04;1.006480e+05;1.029815e+05;1.079936e+05;1.146489e+05;1.206010e+05;1.269958e+05;1.341624e+05;1.389265e+05;1.439295e+05;1.487356e+05;1.684390e+05;1.758637e+05;1.906705e+05;1.959007e+05;1.905959e+05;1.928880e+05;1.982366e+05
Barbados;CBA_GgCO2eq;4.660427e+03;4.689359e+03;4.718291e+03;5.427664e+03;4.899840e+03;5.118570e+03;5.122034e+03;4.808562e+03;5.575307e+03;5.817437e+03;5.674695e+03;5.772628e+03;5.746236e+03;5.876811e+03;6.061697e+03;6.235444e+03;6.322852e+03;6.303308e+03;6.771811e+03;6.717234e+03;6.299374e+03;6.338429e+03;6.332829e+03;6.271666e+03;5.812285e+03;5.808809e+03;4.381530e+03;4.095837e+03;4.307840e+03;4.452649e+03;4.285197e+03;4.353168e+03;4.262979e+03
Belarus;CBA_GgCO2eq;1.474695e+02;1.180542e+02;8.863887e+01;1.187900e+02;1.323142e+02;1.356541e+02;1.602172e+02;1.459590e+02;1.498491e+02;1.466876e+02;1.494713e+02;1.491115e+02;1.492096e+02;1.310226e+02;1.259721e+02;1.228917e+02;1.391282e+02;1.444543e+02;1.500464e+02;1.570662e+02;1.573319e+02;1.097493e+02;4.214546e+02;5.495671e+02;2.073092e+02;2.037927e+02;1.120582e+04;9.712423e+03;4.101812e+04;3.854284e+04;3.798178e+04;3.797733e+04;3.769015e+04
Belgium;CBA_GgCO2eq;1.358385e+05;1.380600e+05;1.402815e+05;1.399529e+05;1.460198e+05;1.494446e+05;1.497700e+05;1.371448e+05;1.448526e+05;1.394763e+05;1.447098e+05;1.378720e+05;1.384708e+05;1.403496e+05;1.421142e+05;1.403975e+05;1.398562e+05;1.390445e+05;1.422548e+05;1.319467e+05;1.316151e+05;1.229043e+05;1.220838e+05;1.223021e+05;1.166671e+05;1.202944e+05;1.410559e+05;1.453985e+05;1.493052e+05;1.420248e+05;1.398300e+05;1.395580e+05;1.353539e+05
Belize;CBA_GgCO2eq;1.228485e+03;1.285810e+03;1.343135e+03;1.277904e+03;1.238041e+03;1.200662e+03;1.185451e+03;1.234508e+03;1.172812e+03;1.244193e+03;1.248710e+03;1.420565e+03;1.484809e+03;1.545683e+03;1.511231e+03;1.522356e+03;1.583955e+03;1.611302e+03;1.560440e+03;1.634756e+03;1.605991e+03;1.705892e+03;1.604935e+03;1.763528e+03;1.669700e+03;1.837792e+03;1.330076e+03;1.291949e+03;1.334716e+03;1.443274e+03;1.436282e+03;1.441474e+03;1.471538e+03
Benin;CBA_GgCO2eq;5.970451e+03;6.206975e+03;6.443499e+03;6.646932e+03;6.941015e+03;6.882256e+03;7.585786e+03;7.767880e+03;7.908483e+03;8.280508e+03;8.321864e+03;8.023780e+03;9.060304e+03;9.321891e+03;9.547153e+03;1.023698e+04;1.090342e+04;1.174919e+04;1.152035e+04;1.210252e+04;1.294017e+04;1.303912e+04;1.303490e+04;1.390072e+04;1.419457e+04;1.498980e+04;1.464885e+04;1.510301e+04;1.621925e+04;1.620051e+04;1.589957e+04;1.653022e+04;1.713410e+04
Bermuda;CBA_GgCO2eq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bhutan;CBA_GgCO2eq;1.659982e+03;1.604021e+03;1.548059e+03;1.473951e+03;1.528961e+03;1.682390e+03;1.706107e+03;1.848032e+03;1.767849e+03;1.846159e+03;1.670948e+03;1.701775e+03;1.777805e+03;1.677928e+03;1.614229e+03;1.736518e+03;1.588878e+03;1.587594e+03;1.558900e+03;1.835697e+03;2.114360e+03;2.336025e+03;2.352680e+03;2.417738e+03;2.328304e+03;2.360532e+03;2.521593e+03;2.570470e+03;3.277130e+03;3.582461e+03;3.383201e+03;3.579168e+03;3.675114e+03
Bolivia;CBA_GgCO2eq;1.724911e+04;1.844306e+04;1.963701e+04;2.019740e+04;2.142874e+04;2.475808e+04;3.350459e+04;4.339083e+04;4.768670e+04;4.610061e+04;4.202994e+04;3.371450e+04;3.101715e+04;3.331656e+04;3.975648e+04;4.294124e+04;4.383802e+04;4.241188e+04;4.348063e+04;4.883178e+04;4.944857e+04;5.039226e+04;5.382012e+04;5.736657e+04;5.906253e+04;6.116360e+04;7.410952e+04;7.721721e+04;9.073776e+04;8.934677e+04;9.051886e+04;9.232265e+04;9.463520e+04
Bosnia and Herzegovina;CBA_GgCO2eq;3.712658e+04;2.647350e+04;1.582043e+04;1.006290e+04;8.501613e+03;7.119419e+03;8.911965e+03;1.173944e+04;1.660615e+04;1.768252e+04;1.878740e+04;1.941824e+04;2.034166e+04;2.070582e+04;2.205525e+04;2.051382e+04;2.303732e+04;2.291590e+04;2.544655e+04;2.557725e+04;2.561847e+04;2.723979e+04;2.538320e+04;2.476184e+04;2.597037e+04;2.556191e+04;2.632216e+04;2.627816e+04;2.649054e+04;2.618685e+04;2.594406e+04;2.250140e+04;2.634888e+04
Botswana;CBA_GgCO2eq;1.634068e+04;1.630882e+04;1.627696e+04;1.677505e+04;1.679938e+04;1.788083e+04;1.848657e+04;1.847152e+04;1.835987e+04;1.783117e+04;1.823515e+04;2.062084e+04;2.084243e+04;1.550294e+04;1.682804e+04;1.738396e+04;1.911887e+04;1.824625e+04;2.726507e+04;1.932150e+04;3.125659e+04;3.552367e+04;2.475618e+04;2.554395e+04;1.889879e+04;2.214522e+04;1.564735e+04;1.854156e+04;1.760521e+04;1.578846e+04;1.775045e+04;1.712027e+04;1.826959e+04
Brazil;CBA_GgCO2eq;5.994479e+05;6.016766e+05;6.039053e+05;6.263393e+05;6.744177e+05;7.327961e+05;7.411185e+05;8.045896e+05;7.606098e+05;7.657916e+05;8.112958e+05;8.109585e+05;8.164183e+05;8.230051e+05;8.482734e+05;8.834273e+05;9.051485e+05;9.307426e+05;9.801507e+05;9.762122e+05;1.066363e+06;1.099531e+06;1.111819e+06;1.148663e+06;1.135161e+06;1.149393e+06;1.078618e+06;1.097837e+06;1.024980e+06;1.014590e+06;1.023079e+06;1.058328e+06;1.077661e+06
British Virgin Islands;CBA_GgCO2eq;4.021556e+02;3.741257e+02;3.460957e+02;3.780132e+02;4.249793e+02;4.529256e+02;4.726189e+02;5.066252e+02;4.825531e+02;5.430134e+02;5.511662e+02;5.831764e+02;5.857260e+02;5.292709e+02;5.122627e+02;5.430156e+02;5.391476e+02;5.292525e+02;5.055948e+02;4.945851e+02;5.135504e+02;6.159437e+02;5.862170e+02;5.652402e+02;5.195913e+02;5.296795e+02;1.854137e+02;1.762268e+02;2.929112e+02;2.791615e+02;2.666753e+02;2.730172e+02;2.776416e+02
Brunei;CBA_GgCO2eq;6.184480e+03;5.818226e+03;5.451971e+03;6.069482e+03;5.846318e+03;5.534897e+03;5.762769e+03;6.123203e+03;6.221267e+03;5.460311e+03;5.359060e+03;5.585625e+03;5.184342e+03;5.279760e+03;5.185024e+03;4.915874e+03;5.022816e+03;6.812278e+03;6.573908e+03;6.865881e+03;6.318598e+03;6.739516e+03;6.714354e+03;6.355494e+03;6.499742e+03;6.062176e+03;7.457769e+03;8.250236e+03;9.113145e+03;9.469121e+03;8.150688e+03;8.569859e+03;9.005421e+03
Bulgaria;CBA_GgCO2eq;8.053297e+04;6.452613e+04;4.851930e+04;5.529237e+04;4.841483e+04;4.982260e+04;4.263288e+04;3.992965e+04;4.160268e+04;4.068214e+04;3.870555e+04;4.327349e+04;4.221182e+04;4.769238e+04;4.857722e+04;5.003293e+04;4.982381e+04;5.387740e+04;5.373795e+04;4.843007e+04;4.661635e+04;4.801675e+04;4.484987e+04;4.138431e+04;4.215505e+04;4.483927e+04;5.809352e+04;6.018395e+04;6.306723e+04;6.046624e+04;5.233402e+04;5.921506e+04;5.715165e+04
Burkina Faso;CBA_GgCO2eq;7.667500e+03;7.732159e+03;7.796818e+03;7.807854e+03;7.844024e+03;8.577141e+03;9.329260e+03;1.009019e+04;1.062546e+04;1.150248e+04;1.180158e+04;1.221233e+04;1.272945e+04;1.592255e+04;1.681020e+04;1.782807e+04;1.856882e+04;1.982691e+04;2.151530e+04;2.217636e+04;2.286889e+04;2.403908e+04;2.492998e+04;2.585832e+04;2.697167e+04;2.678497e+04;2.521427e+04;2.570047e+04;2.825903e+04;2.889950e+04;2.908883e+04;2.959503e+04;2.978411e+04
Burundi;CBA_GgCO2eq;2.851504e+03;2.846059e+03;2.840614e+03;2.812529e+03;2.779738e+03;2.828962e+03;2.797140e+03;2.902799e+03;2.818314e+03;2.454684e+03;2.518613e+03;2.779697e+03;2.791023e+03;2.753119e+03;2.846934e+03;2.938911e+03;3.069897e+03;3.145921e+03;3.273098e+03;3.563752e+03;3.819448e+03;3.945121e+03;3.526073e+03;3.948986e+03;3.833797e+03;3.862655e+03;3.738117e+03;3.995395e+03;4.323460e+03;4.424244e+03;4.318791e+03;4.325904e+03;4.499215e+03
Cambodia;CBA_GgCO2eq;1.764058e+04;1.783268e+04;1.802478e+04;1.949407e+04;1.856797e+04;2.155518e+04;2.171640e+04;2.019719e+04;2.002766e+04;2.094129e+04;1.956695e+04;1.970295e+04;2.011542e+04;2.184670e+04;2.184437e+04;2.334658e+04;2.477418e+04;2.619725e+04;2.729309e+04;2.902393e+04;2.984159e+04;3.132156e+04;3.112558e+04;3.126590e+04;3.122208e+04;3.283300e+04;3.568212e+04;3.744212e+04;3.879056e+04;4.109459e+04;4.062564e+04;4.035627e+04;4.078146e+04
Cameroon;CBA_GgCO2eq;2.747577e+04;2.771359e+04;2.795141e+04;2.811007e+04;2.504847e+04;2.586840e+04;2.775293e+04;2.685349e+04;2.820360e+04;2.830716e+04;2.931614e+04;2.896395e+04;2.833219e+04;3.041404e+04;2.916944e+04;3.024905e+04;2.860334e+04;3.017133e+04;3.060738e+04;3.263864e+04;3.226707e+04;3.151364e+04;3.199570e+04;3.250137e+04;3.477024e+04;3.815568e+04;4.085201e+04;3.813436e+04;3.887303e+04;3.947353e+04;3.819031e+04;3.754338e+04;3.830513e+04
Canada;CBA_GgCO2eq;6.323467e+05;6.325110e+05;6.326754e+05;6.317292e+05;6.410958e+05;6.412482e+05;6.478555e+05;6.605364e+05;6.305146e+05;6.331850e+05;6.494446e+05;6.386734e+05;6.461836e+05;6.904915e+05;6.959130e+05;7.032048e+05;7.194574e+05;7.515378e+05;7.394587e+05;7.302459e+05;7.561855e+05;7.659210e+05;7.730178e+05;7.747375e+05;7.417854e+05;7.914367e+05;7.428593e+05;7.426742e+05;7.369873e+05;7.184977e+05;6.780410e+05;6.726921e+05;6.727777e+05
Cape Verde;CBA_GgCO2eq;6.683362e+02;6.768055e+02;6.852747e+02;6.694510e+02;7.092921e+02;7.562617e+02;7.291166e+02;7.757950e+02;7.527434e+02;8.494134e+02;8.183634e+02;8.875159e+02;9.855784e+02;9.563883e+02;1.007360e+03;1.111748e+03;1.161523e+03;1.231737e+03;1.216567e+03;1.267636e+03;1.293761e+03;1.406247e+03;1.238698e+03;1.200658e+03;1.126399e+03;1.141479e+03;6.353858e+02;6.720862e+02;1.037943e+03;1.074079e+03;1.081779e+03;1.095393e+03;1.088799e+03
Cayman Islands;CBA_GgCO2eq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central African Republic;CBA_GgCO2eq;1.871421e+04;1.894781e+04;1.918142e+04;1.911595e+04;1.868878e+04;2.042187e+04;2.392874e+04;2.476857e+04;2.854098e+04;2.708334e+04;3.049965e+04;2.781238e+04;2.536014e+04;3.496777e+04;3.555382e+04;3.567884e+04;1.367158e+04;1.392355e+04;1.424483e+04;8.656971e+03;8.885380e+03;9.393746e+03;9.056340e+03;9.129211e+03;9.051610e+03;9.242516e+03;9.328257e+03;9.102612e+03;9.229823e+03;9.246213e+03;9.284904e+03;9.432895e+03;9.325620e+03
Chad;CBA_GgCO2eq;7.089968e+03;8.538589e+03;9.987210e+03;1.031423e+04;1.179963e+04;1.347994e+04;1.630558e+04;1.764422e+04;1.902199e+04;2.125538e+04;2.363035e+04;2.103214e+04;2.216942e+04;2.335006e+04;2.355369e+04;2.380575e+04;2.417017e+04;2.546022e+04;2.563256e+04;2.648187e+04;2.722281e+04;2.800278e+04;2.871463e+04;3.000000e+04;3.075127e+04;3.332194e+04;3.936201e+04;4.037360e+04;4.177479e+04;4.297789e+04;4.495786e+04;4.670270e+04;4.986327e+04
Chile;CBA_GgCO2eq;4.794713e+04;4.991793e+04;5.188874e+04;5.599475e+04;5.881077e+04;6.431041e+04;7.193775e+04;7.559796e+04;7.591082e+04;7.618784e+04;7.443172e+04;7.225651e+04;7.487299e+04;7.565970e+04;8.030131e+04;8.355787e+04;8.575243e+04;9.235447e+04;9.659127e+04;9.082866e+04;9.556936e+04;1.065231e+05;1.143235e+05;1.162894e+05;1.117773e+05;1.186654e+05;1.190424e+05;1.213504e+05;1.240340e+05;1.227282e+05;1.167113e+05;1.169188e+05;1.202864e+05
China;CBA_GgCO2eq;2.938625e+06;3.119233e+06;3.299840e+06;3.424815e+06;3.404098e+06;3.685145e+06;3.965644e+06;3.826433e+06;3.789010e+06;3.859996e+06;3.831459e+06;4.059775e+06;4.381153e+06;4.924543e+06;5.407281e+06;5.837381e+06;6.321213e+06;6.757415e+06;7.405245e+06;8.457252e+06;9.065992e+06;1.000232e+07;1.036181e+07;1.079375e+07;1.089572e+07;1.086682e+07;1.110135e+07;1.137827e+07;1.158487e+07;1.155661e+07;1.161050e+07;1.170802e+07;1.204622e+07
Colombia;CBA_GgCO2eq;1.014960e+05;1.055130e+05;1.095300e+05;1.161611e+05;1.217403e+05;1.247985e+05;1.269561e+05;1.364928e+05;1.294968e+05;1.201657e+05;1.218413e+05;1.171570e+05;1.025671e+05;1.192839e+05;1.253770e+05;1.210331e+05;1.404214e+05;1.475366e+05;1.518657e+05;1.564016e+05;1.688426e+05;1.726975e+05;1.786635e+05;1.837931e+05;1.851600e+05;1.904777e+05;1.812166e+05;1.766393e+05;1.821589e+05;1.878264e+05;1.775748e+05;1.832469e+05;1.927321e+05
Congo;CBA_GgCO2eq;1.166993e+04;1.175935e+04;1.184877e+04;1.133520e+04;9.829927e+03;1.060755e+04;1.153139e+04;1.171865e+04;1.200313e+04;1.151934e+04;1.104486e+04;1.111870e+04;8.424650e+03;1.012990e+04;1.081211e+04;1.237968e+04;1.325859e+04;1.189960e+04;1.182072e+04;1.388863e+04;1.398087e+04;1.285816e+04;1.277940e+04;1.320939e+04;1.275621e+04;1.357926e+04;1.993499e+04;1.986432e+04;1.983870e+04;2.093482e+04;2.135592e+04;1.944449e+04;2.037865e+04
Costa Rica;CBA_GgCO2eq;9.670454e+03;1.044097e+04;1.121149e+04;1.232544e+04;1.377356e+04;1.368465e+04;1.430188e+04;1.446763e+04;1.434074e+04;1.404519e+04;1.402442e+04;1.424159e+04;1.480154e+04;1.529227e+04;1.528827e+04;1.529207e+04;1.582679e+04;1.705435e+04;1.800597e+04;1.715375e+04;1.819618e+04;1.921565e+04;1.921542e+04;1.990747e+04;1.980120e+04;1.964818e+04;1.988395e+04;2.017906e+04;2.038237e+04;2.044685e+04;1.903003e+04;1.980722e+04;2.015067e+04
Croatia;CBA_GgCO2eq;3.694644e+04;3.027985e+04;2.361327e+04;2.465439e+04;2.488036e+04;2.762121e+04;2.827613e+04;2.991210e+04;2.907886e+04;2.972774e+04;2.857502e+04;3.025594e+04;3.115579e+04;3.438566e+04;3.507191e+04;3.552289e+04;3.683439e+04;3.882806e+04;3.879750e+04;3.524166e+04;3.418426e+04;3.375577e+04;3.172749e+04;3.062056e+04;2.945651e+04;3.005549e+04;2.228214e+04;2.321796e+04;2.426348e+04;2.342591e+04;2.357031e+04;2.317937e+04;2.331505e+04
Cuba;CBA_GgCO2eq;5.908541e+04;4.952260e+04;3.995978e+04;3.754945e+04;3.981035e+04;4.397663e+04;4.461395e+04;4.234751e+04;4.169173e+04;4.233614e+04;4.279359e+04;4.216963e+04;4.178717e+04;4.154449e+04;4.125467e+04;4.221488e+04;4.451799e+04;4.423777e+04;4.767261e+04;4.615860e+04;5.084870e+04;4.726031e+04;4.749349e+04;4.632143e+04;4.546022e+04;4.644425e+04;4.201391e+04;3.919657e+04;3.929755e+04;3.887530e+04;3.528916e+04;4.003109e+04;4.199676e+04
Cyprus;CBA_GgCO2eq;8.545380e+03;9.345566e+03;1.014575e+04;9.887655e+03;1.044386e+04;1.081311e+04;1.138935e+04;1.098826e+04;1.183647e+04;1.212617e+04;1.251411e+04;1.253014e+04;1.280392e+04;1.350323e+04;1.415417e+04;1.430774e+04;1.496647e+04;1.580801e+04;1.657431e+04;1.525519e+04;1.510907e+04;1.481657e+04;1.443598e+04;1.330308e+04;1.330971e+04;1.334179e+04;1.424459e+04;1.429522e+04;1.151484e+04;1.051667e+04;1.021477e+04;1.030185e+04;1.044542e+04
Czech Republic;CBA_GgCO2eq;1.255927e+05;1.185202e+05;1.114476e+05;1.183299e+05;1.175644e+05;1.184073e+05;1.244419e+05;1.166760e+05;1.170814e+05;1.117567e+05;1.156834e+05;1.160816e+05;1.199691e+05;1.225401e+05;1.219239e+05;1.214236e+05;1.210515e+05;1.224660e+05;1.244648e+05;1.192538e+05;1.191410e+05;1.163099e+05;1.147319e+05;1.083081e+05;1.048001e+05;1.079732e+05;9.434430e+04;9.154096e+04;1.115815e+05;7.102914e+04;7.028075e+04;7.228271e+04;7.275083e+04
Cote dIvoire;CBA_GgCO2eq;1.601153e+04;1.523916e+04;1.446680e+04;1.516777e+04;1.362380e+04;1.599198e+04;1.728377e+04;1.721847e+04;1.711665e+04;1.677436e+04;1.714797e+04;1.828371e+04;1.859958e+04;1.735021e+04;1.813008e+04;1.946005e+04;1.797470e+04;1.848634e+04;1.815351e+04;1.735185e+04;1.777131e+04;1.818300e+04;2.040434e+04;2.217258e+04;2.174741e+04;2.197823e+04;3.189338e+04;3.173880e+04;3.304931e+04;3.311171e+04;3.282357e+04;3.271886e+04;3.369589e+04
North Korea;CBA_GgCO2eq;1.982192e+05;1.835848e+05;1.689503e+05;1.558548e+05;1.398149e+05;1.156020e+05;1.030133e+05;8.865296e+04;7.536190e+04;7.530445e+04;6.632081e+04;7.375826e+04;7.308808e+04;7.642965e+04;7.702855e+04;8.108946e+04;8.253683e+04;6.910268e+04;7.110875e+04;5.798727e+04;5.231802e+04;4.097994e+04;4.158220e+04;3.451385e+04;3.754012e+04;3.362724e+04;5.613930e+04;5.060824e+04;5.111864e+04;5.305207e+04;5.230872e+04;5.524143e+04;5.784275e+04
DR Congo;CBA_GgCO2eq;5.956498e+04;5.918320e+04;5.880142e+04;5.892690e+04;5.869469e+04;6.092880e+04;5.363971e+04;5.525606e+04;6.148162e+04;6.067286e+04;6.023985e+04;5.898241e+04;5.817879e+04;5.850761e+04;6.197395e+04;6.206930e+04;6.286114e+04;5.869140e+04;6.249817e+04;6.280835e+04;6.558710e+04;6.456983e+04;7.107337e+04;7.690252e+04;7.737875e+04;7.819620e+04;8.036698e+04;8.269993e+04;8.270341e+04;8.354625e+04;8.368409e+04;8.361197e+04;8.476986e+04
