Country;Record;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Afghanistan;CBA_GgCO2eq;1.324601e+04;1.305870e+04;1.287140e+04;1.290802e+04;1.286525e+04;1.363152e+04;1.473108e+04;1.566578e+04;1.605527e+04;1.692565e+04;1.540137e+04;1.452821e+04;1.714988e+04;1.854054e+04;1.838671e+04;1.942609e+04;2.010252e+04;2.122686e+04;2.373898e+04;2.696709e+04;3.146922e+04;3.638242e+04;3.453577e+04;3.290171e+04;3.220352e+04;3.221770e+04;3.315056e+04;3.343016e+04;3.263970e+04;3.536996e+04;3.638315e+04;3.617041e+04;3.629291e+04
Albania;CBA_GgCO2eq;6.466275e+03;6.629113e+03;6.791952e+03;6.634477e+03;6.752220e+03;6.598571e+03;7.006381e+03;6.963276e+03;7.734720e+03;8.175041e+03;7.111814e+03;7.978843e+03;8.181338e+03;8.927680e+03;9.615812e+03;9.261059e+03;9.935611e+03;1.063973e+04;1.080018e+04;1.086015e+04;1.100785e+04;1.178482e+04;1.122633e+04;1.173342e+04;1.228261e+04;1.110762e+04;1.012646e+04;1.127255e+04;1.145431e+04;1.129144e+04;1.115759e+04;1.009171e+04;1.069817e+04
Algeria;CBA_GgCO2eq;1.170883e+05;1.093101e+05;1.015319e+05;1.171044e+05;1.119089e+05;1.096553e+05;1.051227e+05;9.722499e+04;1.115792e+05;9.989875e+04;8.667976e+04;8.358607e+04;8.577064e+04;8.726355e+04;8.401855e+04;8.611794e+04;7.897202e+04;8.286786e+04;8.843087e+04;1.097441e+05;1.082072e+05;1.075533e+05;1.140389e+05;1.249574e+05;1.311782e+05;1.451187e+05;2.349399e+05;2.374973e+05;2.357236e+05;2.298487e+05;2.266776e+05;2.162579e+05;2.292533e+05
Andorra;CBA_GgCO2eq;9.029511e+02;8.929243e+02;8.828974e+02;8.410418e+02;8.869779e+02;9.270552e+02;9.601520e+02;1.017450e+03;9.820551e+02;1.052971e+03;1.051821e+03;1.096074e+03;1.125393e+03;1.139935e+03;1.198446e+03;1.240071e+03;1.241635e+03;1.263826e+03;1.238382e+03;1.125283e+03;1.136523e+03;1.127900e+03;1.076968e+03;1.042320e+03;9.637124e+02;9.707759e+02;5.232692e+02;5.218818e+02;7.288847e+02;7.064383e+02;6.428306e+02;6.818299e+02;7.052279e+02
Angola;CBA_GgCO2eq;4.511272e+04;4.527079e+04;4.542886e+04;4.570244e+04;4.568666e+04;4.078136e+04;4.085899e+04;4.806279e+04;4.981417e+04;4.079553e+04;4.820382e+04;4.965729e+04;4.966029e+04;5.432670e+04;5.607526e+04;5.528511e+04;4.851861e+04;5.646512e+04;6.105073e+04;7.386998e+04;6.869233e+04;6.556818e+04;6.690947e+04;7.159934e+04;7.445695e+04;7.322522e+04;8.356136e+04;8.398578e+04;6.674243e+04;6.454643e+04;5.922124e+04;5.913685e+04;6.306419e+04
Antigua;CBA_GgCO2eq;8.680681e+02;8.543479e+02;8.406277e+02;8.393304e+02;8.949599e+02;8.896597e+02;9.085663e+02;8.223697e+02;8.621711e+02;9.330006e+02;8.745098e+02;9.260500e+02;9.530700e+02;9.519723e+02;9.512792e+02;9.907471e+02;1.039699e+03;1.087617e+03;1.069420e+03;1.008559e+03;9.801438e+02;9.509044e+02;9.213098e+02;9.311392e+02;8.910694e+02;8.944577e+02;5.520130e+02;6.136121e+02;7.770396e+02;7.675369e+02;7.354246e+02;7.451280e+02;7.728832e+02
Argentina;CBA_GgCO2eq;2.251369e+05;2.415479e+05;2.579589e+05;2.632014e+05;2.679741e+05;2.627263e+05;2.759036e+05;2.795547e+05;2.857308e+05;2.914128e+05;2.905696e+05;2.903527e+05;2.393343e+05;2.590351e+05;2.712200e+05;2.795918e+05;2.890348e+05;3.063571e+05;3.123335e+05;2.935832e+05;3.081415e+05;3.218908e+05;3.309329e+05;3.446800e+05;3.366509e+05;3.480259e+05;3.511771e+05;3.486757e+05;3.239467e+05;3.195923e+05;3.189246e+05;3.291046e+05;3.297293e+05
Armenia;CBA_GgCO2eq;3.390752e+04;3.118595e+04;2.846437e+04;1.366225e+04;1.355792e+04;1.456476e+04;1.113042e+04;1.090563e+04;9.253597e+03;7.500798e+03;6.173612e+03;6.244891e+03;6.025967e+03;6.421295e+03;6.840689e+03;7.611114e+03;8.288308e+03;9.502674e+03;1.057383e+04;9.567942e+03;9.611388e+03;1.031058e+04;1.126611e+04;1.126945e+04;1.120109e+04;1.093281e+04;1.097683e+04;1.127872e+04;1.320376e+04;1.263414e+04;1.241332e+04;1.277041e+04;1.376886e+04
Aruba;CBA_GgCO2eq;1.241669e+03;1.209235e+03;1.176800e+03;1.266099e+03;1.297333e+03;1.304740e+03;1.345760e+03;1.442831e+03;1.368708e+03;1.423073e+03;2.445352e+03;2.483524e+03;2.566441e+03;2.644443e+03;2.558014e+03;2.621864e+03;2.675732e+03;2.770083e+03;2.642614e+03;2.715075e+03;2.648114e+03;2.739516e+03;1.966466e+03;1.634678e+03;1.560856e+03;1.559881e+03;8.038445e+02;7.952350e+02;9.691998e+02;9.740807e+02;9.808369e+02;9.553641e+02;8.570806e+02
Australia;CBA_GgCO2eq;4.266406e+05;4.199735e+05;4.133063e+05;4.062002e+05;4.174995e+05;4.286436e+05;4.352061e+05;4.224032e+05;4.630105e+05;4.693584e+05;4.760485e+05;4.687843e+05;4.798427e+05;5.025861e+05;5.427879e+05;5.338068e+05;5.398127e+05;5.681149e+05;5.343760e+05;5.481627e+05;5.566964e+05;5.740779e+05;5.826953e+05;5.684048e+05;5.607735e+05;5.685821e+05;5.406147e+05;5.584056e+05;5.324290e+05;5.211365e+05;5.217657e+05;4.951626e+05;5.160710e+05
