country,iso3c,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Afghanistan,AFG,2591.560444,2653.369752,2291.800534,2311.197576,2486.769353,2667.018578,2572.686354,2897.513126,2768.741931,2775.307821,2337.067789,2454.616803,2591.247865,2972.934175,3312.80816,3965.618156,3647.275367,3645.577533,3431.059496,3422.340597
Albania,ALB,3966.31902,4216.334868,5018.73888,4696.720727,3939.414594,3972.88414,4171.489161,4622.332175,5162.2787,5705.672742,3998.779972,5403.113787,5405.519776,5629.53401,5820.451192,5925.171415,6015.277131,5599.665448,5566.264087,6728.089663
Algeria,DZA,15508.92,18507.3545,26708.54999,36005.68385,33391.33107,35792.66164,42106.6532,46410.11328,64045.29679,50856.68801,66518.00957,53388.06084,48448.7213,57720.34064,72440.64936,72704.5204,72467.80155,74243.93991,78004.73465,73039.42778
Andorra,AND,776.4345761,687.225597,687.3640633,736.2189111,608.0674946,591.6752041,606.7845888,579.9531398,669.1263651,631.3979905,587.4366271,567.2556812,580.1353894,585.8810692,593.7136757,627.8040021,645.6609859,669.075115,687.0792801,714.0339619
Angola,AGO,3956.770452,4042.646071,4183.248972,4281.709176,4277.147542,3884.473613,4111.336513,3673.206093,3898.538765,3852.694364,3708.638822,4172.252834,4661.02962,5038.836657,5240.083831,5192.814413,5196.520288,5097.690081,5285.386027,5183.692594
Antigua,ATG,300.0781685,301.5116358,360.4788449,398.8665426,419.1678732,560.1079412,380.1424262,450.6587804,567.4633754,479.0553294,385.6976551,383.7888253,507.7186747,384.126688,495.7897708,631.6257586,650.4032038,688.9348689,699.9649708,750.9643299
Argentina,ARG,74846.50708,73559.00108,73247.51921,73171.30588,72979.12263,72449.51584,74367.55363,74748.12387,75395.58032,79966.17371,79971.72741,77537.74838,92477.80473,99737.58791,104090.848,101965.3485,107350.944,113229.6386,114753.2763,106263.8974
Armenia,ARM,10034.27437,10403.11319,10223.5446,9974.019371,9930.30481,10130.84003,10610.59571,10786.31217,11537.27485,11670.49811,11998.71815,12433.79235,12926.8384,13487.79076,14395.52142,15630.42861,15871.16876,17560.028,18820.63079,19628.4636
Aruba,ABW,2397.7994,2067.718257,2001.329142,2195.821323,1922.498131,1488.455427,2822.087007,1645.380367,1527.974932,1539.169687,1529.15577,1455.842782,1613.223284,1071.437135,1999.327235,2311.744846,639.8184642,905.4310306,1116.405848,1238.639146
Australia,AUS,316470.8288,250769.5375,238740.5293,246324.4829,245956.0384,240583.6833,253878.5354,258237.9548,114604.6102,210082.8697,233734.4255,255742.9563,248108.4371,239403.1145,253185.9201,245897.6595,242955.4715,263402.5546,277108.4821,300055.0344
