Zone,Sector,Scenario,Year,CO2_2015,CO2_2040,CO2_2050,Population,Volume,Energy,CO2,Population_Intensity,Sufficiency_Intensity,Energy_Efficiency_Intensity,Carbon_Intensity
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_EI-1p5C-CCimp,2015,77.5662,12.6127,0.0106,64.1343,3458.0,78.98633801471425,77.56619999999998,64.1343,53.91810622397064,0.02284162464277451,0.982020460114891
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_EI-1p5C-CCimp,2040,77.5662,12.6127,0.0106,77.8257,5027.0999999999985,57.542753415497295,12.6127,77.8257,64.594343513775,0.011446510595670924,0.21918832956997802
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_EI-1p5C-CCimp,2050,77.5662,12.6127,0.0106,81.071,5404.5,43.606095347282675,0.010600000000000002,81.071,66.6637885310407,0.008068479109498136,0.00024308528235744781
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_MC-1p5C-CCimp,2015,77.5662,4.5192,0.0124999999999999,64.1343,3458.0,78.98633801471425,77.56619999999998,64.1343,53.91810622397064,0.02284162464277451,0.982020460114891
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_MC-1p5C-CCimp,2040,77.5662,4.5192,0.0124999999999999,77.8257,4795.5,49.359892997039154,4.5192,77.8257,61.61846279570887,0.010292960691698291,0.0915561141972306
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_MC-1p5C-CCimp,2050,77.5662,4.5192,0.0124999999999999,81.071,5106.4,36.87064106238717,0.012499999999999902,81.071,62.98676468774284,0.007220476473129245,0.00033902312625509295
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_RC-1p5C-CCimp,2015,77.5662,3.9317,0.0115,64.1343,3458.0,78.98633801471425,77.56619999999998,64.1343,53.91810622397064,0.02284162464277451,0.982020460114891
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_RC-1p5C-CCimp,2040,77.5662,3.9317,0.0115,77.8257,4609.9,47.788286997230195,3.9317,77.8257,59.23364646896847,0.01036644764468431,0.08227329848060637
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_RC-1p5C-CCimp,2050,77.5662,3.9317,0.0115,81.071,4818.5,34.900162415210296,0.0115,81.071,59.435556487523286,0.007242951627106007,0.00032951136052558985
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SSP1-1p5C,2015,77.5662,26.905099999999997,2.6555,64.1343,3458.0,39.3522499283469,77.56619999999998,64.1343,53.91810622397064,0.011380060708023974,1.9710740844864922
