Secteur,Variable,S1,LIFE,Ecart_LIFE_moins_S1
Résidentiel,m2cap,0.477121650585131,0.477121650585131,0.0
Résidentiel,FE_m2,-1.32326548535336,-1.32326548535336,0.0
