Zone,Sector,Scenario,Year,CO2_2015,CO2_2040,CO2_2050,Population,Volume,Energy,CO2,Population_Intensity,Sufficiency_Intensity,Energy_Efficiency_Intensity,Carbon_Intensity
EU,Buildings - Residential,EU Commission Fit-for-55,2015,598.0324185250304,92.1108444715334,-8.553930557693993,445.0,17784.89,241.7601350285936,598.0324185250303,445.0,39.96604494382022,0.013593569318033096,2.4736601774907987
EU,Buildings - Residential,EU Commission Fit-for-55,2040,598.0324185250304,92.1108444715334,-8.553930557693993,443.0,21519.7169,149.55822815916878,92.11084447153338,443.0,48.57723905191873,0.006949823218128338,0.6158861709267078
EU,Buildings - Residential,EU Commission Fit-for-55,2050,598.0324185250304,92.1108444715334,-8.553930557693993,440.0,22408.9614,137.2640899478958,-8.553930557693993,440.0,50.92945772727273,0.00612541061130552,-0.06231732247626446
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,2015,598.0324185250304,44.36462833538213,-8.941834318564556,445.0,17784.89,241.7601350285936,598.0324185250303,445.0,39.96604494382022,0.013593569318033096,2.4736601774907987
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,2040,598.0324185250304,44.36462833538213,-8.941834318564556,443.0,21519.7169,146.89761202553112,44.36462833538212,443.0,48.57723905191873,0.006826187012968146,0.302010548188295
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,2050,598.0324185250304,44.36462833538213,-8.941834318564556,440.0,22408.9614,137.68926390450207,-8.941834318564556,440.0,50.92945772727273,0.0061443840009694555,-0.06494213176102381
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,2015,598.0324185250304,29.053056296569487,-8.94762218555469,445.0,17784.89,241.7601350285936,598.0324185250303,445.0,39.96604494382022,0.013593569318033096,2.4736601774907987
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,2040,598.0324185250304,29.053056296569487,-8.94762218555469,443.0,21519.7169,144.09502766711574,29.05305629656948,443.0,48.57723905191873,0.006695953684554082,0.20162428063574153
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,2050,598.0324185250304,29.053056296569487,-8.94762218555469,440.0,22408.9614,136.23477006002773,-8.947622185554689,440.0,50.92945772727273,0.006079477206829753,-0.06567796298707143
EU,Buildings - Residential,EU Commission LIFE Scenario,2015,598.0324185250304,44.818745518918085,1.0449133999395972,445.0,17784.89,241.7601350285936,598.0324185250303,445.0,39.96604494382022,0.013593569318033096,2.4736601774907987
