Geography,Sector,Scenario,Year,Population (Mill),Volume,Volume Unit,Energy (Million toe),CO2 (Million tonn)
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_EI-1p5C-CCimp,2015,64.1343,3458.0,Floor area (Million m²),78.98633801471425,77.5662
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_EI-1p5C-CCimp,2040,77.8257,5027.099999999999,Floor area (Million m²),57.542753415497295,12.6127
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_EI-1p5C-CCimp,2050,81.071,5404.5,Floor area (Million m²),43.606095347282675,0.0106
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_MC-1p5C-CCimp,2015,64.1343,3458.0,Floor area (Million m²),78.98633801471425,77.5662
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_MC-1p5C-CCimp,2040,77.8257,4795.5,Floor area (Million m²),49.359892997039154,4.5192
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_MC-1p5C-CCimp,2050,81.071,5106.4,Floor area (Million m²),36.87064106238717,0.0124999999999999
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_RC-1p5C-CCimp,2015,64.1343,3458.0,Floor area (Million m²),78.98633801471425,77.5662
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_RC-1p5C-CCimp,2040,77.8257,4609.9,Floor area (Million m²),47.788286997230195,3.9317
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_RC-1p5C-CCimp,2050,81.071,4818.5,Floor area (Million m²),34.900162415210296,0.0115
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP1-1p5C,2015,64.1343,3458.0,Floor area (Million m²),39.3522499283469,77.5662
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP1-1p5C,2040,77.8257,5014.3,Floor area (Million m²),43.8712142925392,26.905099999999997
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP1-1p5C,2050,81.071,5376.2,Floor area (Million m²),39.00592337823702,2.6555
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP1-NPi,2015,64.1343,3458.0,Floor area (Million m²),78.98633801471425,77.5662
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP1-NPi,2040,77.8257,5014.3,Floor area (Million m²),68.15228814369085,46.5869
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP1-NPi,2050,81.071,5376.2,Floor area (Million m²),53.71883061049102,29.4312
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP2-1p5C-CCimp,2015,64.1343,3458.0,Floor area (Million m²),78.98633801471425,155.1324
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP2-1p5C-CCimp,2040,79.3606,5095.2,Floor area (Million m²),66.09582497372807,23.936200000000003
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SSP2-1p5C-CCimp,2050,84.1386,5659.3,Floor area (Million m²),62.61822871883167,3.7802
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIndia-MAgPIE 3.2-4.6 - SSP2-NPi-CCimp,2015,64.1343,3458.0,Floor area (Million m²),78.98633801471425,77.5662
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIndia-MAgPIE 3.2-4.6 - SSP2-NPi-CCimp,2040,79.3606,5095.2,Floor area (Million m²),78.00945829750776,57.4949
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIndia-MAgPIE 3.2-4.6 - SSP2-NPi-CCimp,2050,84.1386,5659.3,Floor area (Million m²),72.4562912009184,50.194700000000005
China,Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_EI-1p5C-CCimp,2015,1411.2736,64662.49999999999,Floor area (Million m²),448.01996751696566,676.4475
China,Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_EI-1p5C-CCimp,2040,1393.1334,109697.2,Floor area (Million m²),693.3457533199697,155.15529999999998
China,Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_EI-1p5C-CCimp,2050,1327.9226,110011.5,Floor area (Million m²),517.3139390465359,24.0684
China,Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_MC-1p5C-CCimp,2015,1411.2736,64662.49999999999,Floor area (Million m²),448.01996751696566,676.4475
China,Buildings - Residential and Commercial,REMIND-MAgPIE 3.2-4.6 - SDP_MC-1p5C-CCimp,2040,1393.1334,88407.6,Floor area (Million m²),578.6447883825455,105.4129
