Model,Scenario,Region,Sector,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,Variable_clean,Unit
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,CAZ,,2.7667,3.0637,3.458,3.8247,4.1881,4.4989,4.7795,5.0271,5.2341,5.4045,5.5444,5.6635,5.8785,6.0826,6.2368,6.2578,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,CAZ,Residential and Commercial,81.69380000000001,77.3457,77.5662,70.85839999999999,65.80399999999999,52.0275,32.39300000000001,12.6127,0.0257,0.0106,0.0101,0.0091,0.0064,0.0057,0.0055,0.0055,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,CHA,,43.9558,55.2209,64.6625,71.033,83.4411,97.0009,105.499,109.6972,111.0341,110.0115,107.1212,103.0027,93.2792,83.5885,74.1411,65.6549,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,CHA,Residential and Commercial,534.4711,563.1417,676.4475,648.8297,760.704,430.71779999999995,271.39390000000003,155.15529999999998,60.7506,24.0684,17.6696,27.1986,25.2378,20.8662,19.623500000000003,4.9191,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,EUR,,24.47,25.558,26.6618,27.9984,28.9312,29.872,30.6606,31.242,31.5656,31.6449,31.528,31.2765,30.5905,29.948,29.3549,28.6923,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,EUR,Residential and Commercial,693.0435,665.9689999999999,553.6432,552.6549000000001,460.4848,377.71520000000004,269.8927,156.6263,67.4863,29.1033,23.7848,23.799000000000003,16.381999999999998,3.6918,1.5868,0.1476,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,IND,,11.7627,13.1311,17.1945,20.5573,25.3488,33.8438,41.5102,47.8677,52.939,56.7674,59.5652,61.589,63.9434,64.6351,64.0638,62.5065,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,IND,Residential and Commercial,140.0694,185.4588,194.9417,273.0439,265.3016,144.0093,100.14569999999999,85.2457,53.1076,18.4985,15.2421,13.0374,8.2669,9.192100000000002,10.8599,9.596300000000001,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,JPN,,6.9832,6.9999,7.1718,7.2356,7.3915,7.4224,7.4026,7.3237,7.1862,7.0121,6.8147,6.6041,6.1353,5.6253,5.1684,4.7771,Emissions,Mt CO2e/yr
REMIND-MAgPIE 3.2-4.6,SDP_EI-1p5C-CCimp,JPN,Residential and Commercial,145.12679999999997,122.5334,105.7944,100.4315,82.8875,59.683,32.52080000000001,16.1085,8.6001,3.0656,2.416,2.4467,2.4465,1.5549,1.4195,0.3426,Emissions,Mt CO2e/yr
