Zone,Sector,Scenario,Lever,CO2_2015,CO2_2040,CO2_2050,Contrib_2015_2040_abs,Contrib_2040_2050_abs,Contrib_2015_2050_abs,Contrib_2015_2040_pct,Contrib_2040_2050_pct,Contrib_2015_2050_pct
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_EI-1p5C-CCimp,Total,77.5662,12.6127,0.0106,-64.95349999999999,-12.6021,-77.5556,-100.0,-100.0,-100.0
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_EI-1p5C-CCimp,Population,,,,6.919080287159537,0.07270119612398446,6.991781483283521,10.652359437381415,0.5768974704532138,9.015185857995453
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_EI-1p5C-CCimp,Sufficiency,,,,6.460225756853065,0.05611834410195234,6.516344100955017,9.94592401772509,0.44530946510464403,8.402158065897263
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_EI-1p5C-CCimp,Energy Efficiency,,,,-24.705828017669553,-0.6223455281215956,-25.32817354579115,-38.036176676652616,-4.938427151995267,-32.65808471057042
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_EI-1p5C-CCimp,Supply Side Decarbonation,,,,-53.62697802634304,-12.10857401210434,-65.73555203844738,-82.5621067784539,-96.08377978356258,-84.7592592133223
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_MC-1p5C-CCimp,Total,77.5662,4.5192,0.0124999999999999,-73.047,-4.5066999999999995,-77.55369999999999,-100.0,-100.0,-100.0
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_MC-1p5C-CCimp,Population,,,,4.971877912259186,0.03125698301549987,5.003134895274686,6.806409451803888,0.6935669783988255,6.451187880494014
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_MC-1p5C-CCimp,Sufficiency,,,,3.4302219975611057,0.016803889202194968,3.4470258867633006,4.695910848578457,0.3728646060797251,4.444695593844396
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_MC-1p5C-CCimp,Energy Efficiency,,,,-20.482483213577716,-0.27125706671387856,-20.753740280291595,-28.040142940268204,-6.0189732334940995,-26.760477295463144
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_MC-1p5C-CCimp,Supply Side Decarbonation,,,,-60.966616696242575,-4.283503805503816,-65.2501205017464,-83.46217736011414,-95.04745835098446,-84.13540617887529
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_RC-1p5C-CCimp,Total,77.5662,3.9317,0.0115,-73.63449999999999,-3.9202000000000004,-77.5547,-100.0,-100.0,-100.0
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_RC-1p5C-CCimp,Population,,,,4.777809951480265,0.027449625490364334,4.805259576970629,6.488548101067115,0.7002098232325986,6.195961788222544
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_RC-1p5C-CCimp,Sufficiency,,,,2.3216721159483074,0.0022864216092026548,2.32395853755751,3.1529678560298606,0.05832410614771324,2.996541199382513
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_RC-1p5C-CCimp,Energy Efficiency,,,,-19.50732117675929,-0.24090757203356025,-19.74822874879285,-26.49209429922019,-6.145287792295297,-25.46361309990607
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SDP_RC-1p5C-CCimp,Supply Side Decarbonation,,,,-61.22666089066928,-3.709028475066007,-64.93568936573529,-83.1494216578768,-94.61324613708501,-83.72888988769898
"Canada, Australia, New Zealand",Buildings - Residential and Commercial,REMIND SSP1-1p5C,Total,77.5662,26.905099999999997,2.6555,-50.6611,-24.249599999999997,-74.91069999999999,-100.0,-100.0,-100.0
