Zone,Sector,Scenario,CO2_2015,CO2_2040,CO2_2050,Total_Change_2015_2040,Total_Change_2040_2050,Total_Change_2015_2050
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,598.0324185250304,44.36462833538213,-8.941834318564556,-553.6677901896483,-53.30646265394668,-606.974252843595
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,598.0324185250304,29.053056296569487,-8.94762218555469,-568.9793622284609,-38.00067848212418,-606.9800407105851
EU,Buildings - Residential,EU Commission Fit-for-55,598.0324185250304,92.1108444715334,-8.553930557693993,-505.921574053497,-100.66477502922739,-606.5863490827244
EU,Buildings - Residential,EU Commission LIFE Scenario,598.0324185250304,44.818745518918085,1.0449133999395972,-553.2136730061123,-43.77383211897849,-596.9875051250908
EU,Buildings - Services,EU Commission >85% Decrease by 2040,443.0446894568396,23.0773182958273,-8.033999315658608,-419.9673711610123,-31.11131761148591,-451.0786887724982
EU,Buildings - Services,EU Commission >90% Decrease by 2040,443.0446894568396,13.473698124268132,-8.036550848614091,-429.57099133257145,-21.510248972882223,-451.08124030545366
EU,Buildings - Services,EU Commission Fit-for-55,443.0446894568396,59.047903075647056,-7.83708783100021,-383.9967863811925,-66.88499090664726,-450.8817772878398
EU,Buildings - Services,EU Commission LIFE Scenario,443.0446894568396,21.753195035168385,-1.5400561983450425,-421.2914944216712,-23.293251233513427,-444.58474565518463
EU,Industry,EU Commission >85% Decrease by 2040,341.93032699121903,50.87763066027614,9.475521117923131,-291.0526963309429,-41.40210954235301,-332.4548058732959
EU,Industry,EU Commission >90% Decrease by 2040,341.93032699121903,50.87763066027614,10.220521094316513,-291.0526963309429,-40.65710956595963,-331.70980589690254
EU,Industry,EU Commission Fit-for-55,341.93032699121903,148.88270086682581,9.465967729681925,-193.04762612439322,-139.4167331371439,-332.4643592615371
EU,Industry,EU Commission LIFE Scenario,341.93032699121903,44.678059217122595,9.207209029837264,-297.2522677740964,-35.47085018728533,-332.7231179613818
EU,Passenger Land Transportation,EU Commission >85% Decrease by 2040,578.3383935468792,82.75853564074603,-3.1106802875794948,-495.57985790613316,-85.86921592832553,-581.4490738344587
EU,Passenger Land Transportation,EU Commission >90% Decrease by 2040,578.3383935468792,67.25494057038756,-3.604049672949145,-511.08345297649157,-70.8589902433367,-581.9424432198283
EU,Passenger Land Transportation,EU Commission Fit-for-55,578.3383935468792,124.71746829487968,-2.710087241773161,-453.6209252519995,-127.42755553665285,-581.0484807886523
EU,Passenger Land Transportation,EU Commission LIFE Scenario,578.3383935468792,79.45030200463435,-0.1501061885914705,-498.8880915422448,-79.60040819322582,-578.4884997354707
Switzerland,Buildings - Residential,Base Scenario,8.570140783474141,2.2129233753172857,0.14646726142021624,-6.357217408156855,-2.0664561138970696,-8.423673522053925
Switzerland,Buildings - Residential,Scenario Zer0 A,8.570140783474141,1.912686555045233,0.15230475886918532,-6.657454228428908,-1.7603817961760477,-8.417836024604956
Switzerland,Buildings - Residential,Scenario Zer0 B,8.570140783474141,2.8625409188702715,0.14831241274961524,-5.7075998646038695,-2.7142285061206564,-8.421828370724526
Switzerland,Buildings - Residential,Scenario Zer0 C,8.570140783474141,2.7740919467970895,0.025500254536301364,-5.796048836677052,-2.748591692260788,-8.54464052893784
Switzerland,Buildings - Services,Base Scenario,4.0445698579717195,0.7039955029924954,0.21810094110630013,-3.340574354979224,-0.48589456188619523,-3.8264689168654193
Switzerland,Buildings - Services,Scenario Zer0 A,4.0445698579717195,0.7136362022863002,0.23625230972175745,-3.330933655685419,-0.4773838925645427,-3.808317548249962
Switzerland,Buildings - Services,Scenario Zer0 B,4.0445698579717195,0.7834238267653505,0.35243093418733107,-3.261146031206369,-0.4309928925780194,-3.6921389237843885
Switzerland,Buildings - Services,Scenario Zer0 C,4.0445698579717195,0.44157553136845934,0.15922549416165618,-3.6029943266032602,-0.2823500372068032,-3.8853443638100633
Switzerland,Passenger Land Transportation,Base Scenario,11.939917563382487,4.607952467929112,0.013843811677144631,-7.331965095453374,-4.594108656251968,-11.926073751705342
Switzerland,Passenger Land Transportation,Scenario Zer0 A,11.939917563382487,4.5609583117446,0.01313991362869231,-7.378959251637887,-4.547818398115908,-11.926777649753795
Switzerland,Passenger Land Transportation,Scenario Zer0 B,11.939917563382487,4.731862462688833,0.013378732874460371,-7.208055100693654,-4.7184837298143725,-11.926538830508026
Switzerland,Passenger Land Transportation,Scenario Zer0 C,11.939917563382487,5.152763148732113,0.02308862410493433,-6.787154414650374,-5.129674524627179,-11.916828939277552
