Secteur,Variable,Valeur,Contribution_%
Services,FE_m2,-1,1.67
Services,CO2e_FE,-59,98.33
Transport,FE_pkm,-6,4.76
Transport,CO2e_FE,-120,95.24
Industrie,FE_prod,-2,1.45
Industrie,CO2e_FE,-136,98.55
