Population_File_Countries,Emissions_File_Countries,Consumption_File_Countries
Republic of Moldova,Slovenia,Togo
Romania,Solomon Islands,Trinidad and Tobago
Russian Federation,Somalia,Tunisia
Rwanda,South Africa,Turkey
Réunion,South Korea,Turkmenistan
Saint Barthélemy,Spain and Andorra,UAE
Saint Helena,Sri Lanka,UK
Saint Kitts and Nevis,Sudan and South Sudan,USA
Saint Lucia,Suriname,Uganda
Saint Martin (French part),Sweden,Ukraine
Saint Pierre and Miquelon,Switzerland and Liechtenstein,Uruguay
Saint Vincent and the Grenadines,Syria,Uzbekistan
Samoa,São Tomé and Príncipe,Vanuatu
San Marino,Taiwan,Venezuela
Sao Tome and Principe,Tajikistan,Viet Nam
Saudi Arabia,Tanzania,Yemen
Senegal,Thailand,Zambia
Serbia,The Gambia,Zimbabwe
Seychelles,Timor-Leste,
Sierra Leone,Togo,
Singapore,Tonga,
Sint Maarten (Dutch part),Trinidad and Tobago,
Slovakia,Tunisia,
Slovenia,Turkmenistan,
Solomon Islands,Turks and Caicos Islands,
Somalia,Türkiye,
South Africa,Uganda,
South Sudan,Ukraine,
Spain,United Arab Emirates,
Sri Lanka,United Kingdom,
State of Palestine,United States,
Sudan,Uruguay,
Suriname,Uzbekistan,
Sweden,Vanuatu,
Switzerland,Venezuela,
Syrian Arab Republic,Viet Nam,
Tajikistan,Western Sahara,
Thailand,Yemen,
Timor-Leste,Zambia,
Togo,Zimbabwe,
Tokelau,,
Tonga,,
Trinidad and Tobago,,
Tunisia,,
Turkmenistan,,
Turks and Caicos Islands,,
Tuvalu,,
Türkiye,,
Uganda,,
Ukraine,,
United Arab Emirates,,
United Kingdom,,
United Republic of Tanzania,,
United States Virgin Islands,,
United States of America,,
Uruguay,,
Uzbekistan,,
Vanuatu,,
Venezuela (Bolivarian Republic of),,
Viet Nam,,
Wallis and Futuna Islands,,
Western Sahara,,
Yemen,,
Zambia,,
Zimbabwe,,
