country,decile,0
AT,1,0.7465017570363653
AT,2,0.7588247355911576
AT,3,0.7751259275190728
AT,4,0.7801310644521691
AT,5,0.7742863284277507
AT,6,0.767551974989558
AT,7,0.7708087413489059
AT,8,0.7740047320523309
AT,9,0.7568881413893688
AT,10,0.7591406196996963
BE,1,0.627049688587426
BE,2,0.6637196630111418
BE,3,0.7212238510474747
BE,4,0.7556703546237382
BE,5,0.6742704580111003
BE,6,0.6706771850192195
BE,7,0.7295334211678809
BE,8,0.7440493013483397
BE,9,0.763444385099912
BE,10,0.7563179547401411
BG,1,0.36128384024011084
BG,2,0.4130539530374427
BG,3,0.39640696210360526
BG,4,0.4275511813087703
BG,5,0.464602737192666
BG,6,0.4564433530461758
BG,7,0.5620541672436065
BG,8,0.5663294862946345
BG,9,0.5703014382188708
BG,10,0.5457747254279579
CH,1,0.7777924446759311
CH,2,0.7774765854122941
CH,3,0.7780706871720614
CH,4,0.8112834623497547
CH,5,0.8227950592144205
CH,6,0.8151493279693496
CH,7,0.8118038365355809
CH,8,0.815240069086672
CH,9,0.8139402354496338
CH,10,0.8081874700703997
CY,1,0.4855764491440015
CY,2,0.4937424165323955
CY,3,0.566728542678646
CY,4,0.6444867756848295
CY,5,0.6359071139313994
CY,6,0.644396435834148
CY,7,0.654768880268837
CY,8,0.638623712826458
CY,9,0.7052894704745408
CY,10,0.7133009021702076
CZ,1,0.5819109850129938
CZ,2,0.640083378676288
CZ,3,0.6784270817016096
CZ,4,0.6954648656379816
CZ,5,0.6717703596339877
CZ,6,0.6781859019629894
CZ,7,0.6560039830367015
CZ,8,0.6632863440656424
CZ,9,0.626250029890823
CZ,10,0.622122733510829
DE,1,0.711017444681284
DE,2,0.7289452735948101
DE,3,0.7694251403296589
DE,4,0.7810277986300013
DE,5,0.744368204045878
DE,6,0.7451066045702294
DE,7,0.7441126131658414
DE,8,0.750475159973519
DE,9,0.7537216466803077
DE,10,0.7675583225014359
DK,1,0.7203551719908544
DK,2,0.7318787438877178
DK,3,0.76423971486865
DK,4,0.776733046417052
DK,5,0.7926502366550678
DK,6,0.7909341049509784
DK,7,0.7613420189420962
DK,8,0.7627338663352946
DK,9,0.7749921489607241
DK,10,0.7711377048245244
EE,1,0.66640059056415
EE,2,0.6648243883647459
EE,3,0.7238424858673336
EE,4,0.7263765494336473
EE,5,0.7055005294428113
EE,6,0.7049543279505396
EE,7,0.7331128759119535
EE,8,0.7297026989982703
EE,9,0.7272635356221832
EE,10,0.7508684684954936
EL,1,0.4836098584656501
EL,2,0.4765670164888739
EL,3,0.5224385271603224
EL,4,0.5368718175333668
EL,5,0.45101738881094583
EL,6,0.47342551602276245
EL,7,0.47579955776622695
EL,8,0.4605788434389384
EL,9,0.5203996209790707
EL,10,0.526210973018477
ES,1,0.5132167432520935
ES,2,0.5331930002902555
ES,3,0.5397263350135129
ES,4,0.5498109298777912
ES,5,0.5505339929027946
ES,6,0.5488362416548613
ES,7,0.5540811268053143
ES,8,0.5459479182467862
ES,9,0.5633693661818672
ES,10,0.5969483868709334
FI,1,0.713769271508559
FI,2,0.7366918171903918
FI,3,0.7742551306669597
FI,4,0.7866080414309579
FI,5,0.7743033163377079
FI,6,0.7705636300954776
FI,7,0.721357641067349
