country,primary_index
BE,EL-EHIS-1
BE,AH-EHIS-1
BE,AH-EHIS-2
BE,AC-EHIS-1
CH,AN-EHIS-1
CH,AE-HBS-1
CH,AE-HBS-2
CH,AE-EHIS-1
CH,HE-HBS-1
CH,HE-HBS-2
CH,HH-HBS-1
CH,HH-HBS-2
CH,EL-EHIS-1
CH,EC-HBS-1
CH,EC-HBS-2
CH,EC-EHIS-1
CH,ED-EHIS-1
CH,AH-EHIS-1
CH,AH-EHIS-2
CH,AC-HBS-1
CH,AC-HBS-2
CH,AC-EHIS-1
CH,AB-EHIS-1
CH,AB-EHIS-2
CH,AB-EHIS-3
CH,IE-HBS-1
CH,IE-HBS-2
CH,IC-HBS-1
CH,IC-HBS-2
CH,TT-HBS-1
CH,TT-HBS-2
CH,TS-HBS-1
CH,TS-HBS-2
CZ,EC-SILC-2
CZ,IS-SILC-3
CZ,RT-SILC-1
CZ,RT-SILC-2
EA,AN-SILC-1
EA,AN-EHIS-1
EA,AE-HBS-1
EA,AE-HBS-2
EA,AE-EHIS-1
EA,HQ-SILC-1
EA,HQ-SILC-2
EA,HE-SILC-1
EA,HE-SILC-2
EA,HE-HBS-1
EA,HE-HBS-2
EA,HH-SILC-1
EA,HH-HBS-1
EA,HH-HBS-2
EA,EL-SILC-1
EA,EL-EHIS-1
EA,ES-SILC-1
EA,ES-SILC-2
EA,EC-SILC-1
EA,EC-SILC-2
EA,EC-HBS-1
EA,EC-HBS-2
EA,EC-EHIS-1
EA,ED-EHIS-1
EA,AH-SILC-1
EA,AH-SILC-2
EA,AH-SILC-3
EA,AH-SILC-4
EA,AH-EHIS-1
EA,AH-EHIS-2
EA,AC-SILC-1
EA,AC-SILC-2
EA,AC-HBS-1
EA,AC-HBS-2
EA,AC-EHIS-1
EA,AB-EHIS-1
EA,AB-EHIS-2
EA,AB-EHIS-3
EA,IS-SILC-3
EA,IE-HBS-1
EA,IE-HBS-2
EA,IC-SILC-1
EA,IC-SILC-2
EA,IC-HBS-1
EA,IC-HBS-2
EA,RT-SILC-1
EA,RT-SILC-2
EA,RT-LFS-1
EA,RT-LFS-2
EA,RT-LFS-3
EA,RU-SILC-1
EA,TT-HBS-1
EA,TT-HBS-2
EA,TS-SILC-1
EA,TS-HBS-1
EA,TS-HBS-2
ES,AN-EHIS-1
ES,AE-EHIS-1
ES,EL-EHIS-1
ES,EC-EHIS-1
ES,ED-EHIS-1
ES,AH-EHIS-1
ES,AH-EHIS-2
ES,AC-EHIS-1
ES,AB-EHIS-1
ES,AB-EHIS-2
ES,AB-EHIS-3
EU,AN-SILC-1
EU,AN-EHIS-1
EU,AE-HBS-1
EU,AE-HBS-2
EU,AE-EHIS-1
EU,HQ-SILC-1
EU,HQ-SILC-2
EU,HE-SILC-1
EU,HE-SILC-2
EU,HE-HBS-1
EU,HE-HBS-2
EU,HH-SILC-1
EU,HH-HBS-1
EU,HH-HBS-2
EU,EL-SILC-1
EU,EL-EHIS-1
EU,ES-SILC-1
EU,ES-SILC-2
EU,EC-SILC-1
EU,EC-SILC-2
EU,EC-HBS-1
EU,EC-HBS-2
EU,EC-EHIS-1
EU,ED-EHIS-1
EU,AH-SILC-1
EU,AH-SILC-2
EU,AH-SILC-3
EU,AH-SILC-4
EU,AH-EHIS-1
EU,AH-EHIS-2
EU,AC-SILC-1
EU,AC-SILC-2
EU,AC-HBS-1
EU,AC-HBS-2
EU,AC-EHIS-1
EU,AB-EHIS-1
EU,AB-EHIS-2
EU,AB-EHIS-3
EU,IS-SILC-3
EU,IE-HBS-1
EU,IE-HBS-2
EU,IC-SILC-1
EU,IC-SILC-2
EU,IC-HBS-1
EU,IC-HBS-2
EU,RT-SILC-1
EU,RT-SILC-2
EU,RT-LFS-1
EU,RT-LFS-2
EU,RT-LFS-3
EU,RU-SILC-1
EU,TT-HBS-1
EU,TT-HBS-2
EU,TS-SILC-1
EU,TS-HBS-1
EU,TS-HBS-2
FR,AB-EHIS-2
IS,AE-HBS-1
IS,AE-HBS-2
IS,HE-HBS-1
IS,HE-HBS-2
IS,HH-HBS-1
IS,HH-HBS-2
IS,EC-SILC-2
IS,EC-HBS-1
IS,EC-HBS-2
IS,AC-HBS-1
IS,AC-HBS-2
IS,IS-SILC-3
IS,IE-HBS-1
IS,IE-HBS-2
IS,IC-HBS-1
IS,IC-HBS-2
IS,RT-SILC-1
IS,RT-SILC-2
IS,TT-HBS-1
IS,TT-HBS-2
IS,TS-HBS-1
IS,TS-HBS-2
IT,AE-HBS-1
IT,AE-HBS-2
IT,HE-HBS-1
IT,HE-HBS-2
IT,HH-HBS-1
IT,HH-HBS-2
IT,EC-HBS-1
IT,EC-HBS-2
IT,AC-HBS-1
IT,AC-HBS-2
IT,AB-EHIS-2
IT,IE-HBS-1
IT,IE-HBS-2
IT,IC-HBS-1
IT,IC-HBS-2
IT,TT-HBS-1
IT,TT-HBS-2
IT,TS-HBS-1
IT,TS-HBS-2
MK,AN-SILC-1
MK,AN-EHIS-1
MK,AE-HBS-1
MK,AE-HBS-2
MK,AE-EHIS-1
MK,HQ-SILC-1
MK,HQ-SILC-2
MK,HE-SILC-1
MK,HE-SILC-2
MK,HE-HBS-1
MK,HE-HBS-2
MK,HH-SILC-1
MK,HH-HBS-1
MK,HH-HBS-2
MK,EL-SILC-1
MK,EL-EHIS-1
MK,ES-SILC-1
MK,ES-SILC-2
MK,EC-SILC-1
MK,EC-SILC-2
MK,EC-HBS-1
MK,EC-HBS-2
MK,EC-EHIS-1
MK,ED-EHIS-1
MK,AH-SILC-1
MK,AH-SILC-2
MK,AH-SILC-3
MK,AH-SILC-4
MK,AH-EHIS-1
MK,AH-EHIS-2
MK,AC-SILC-1
MK,AC-SILC-2
MK,AC-HBS-1
MK,AC-HBS-2
MK,AC-EHIS-1
MK,AB-EHIS-1
MK,AB-EHIS-2
MK,AB-EHIS-3
MK,IS-SILC-3
MK,IE-HBS-1
MK,IE-HBS-2
MK,IC-SILC-1
MK,IC-SILC-2
MK,IC-HBS-1
MK,IC-HBS-2
MK,RT-SILC-1
MK,RT-SILC-2
MK,RT-LFS-1
MK,RT-LFS-2
MK,RT-LFS-3
MK,RU-SILC-1
MK,TT-HBS-1
MK,TT-HBS-2
MK,TT-SILC-2
MK,TS-SILC-1
MK,TS-HBS-1
MK,TS-HBS-2
NL,EL-EHIS-1
NL,AH-EHIS-1
NL,AH-EHIS-2
NL,AB-EHIS-2
RS,AN-EHIS-1
RS,AE-HBS-1
RS,AE-HBS-2
RS,AE-EHIS-1
RS,HE-HBS-1
RS,HE-HBS-2
RS,HH-HBS-1
RS,HH-HBS-2
RS,EL-EHIS-1
RS,EC-HBS-1
RS,EC-HBS-2
RS,EC-EHIS-1
RS,ED-EHIS-1
RS,AH-EHIS-1
RS,AH-EHIS-2
RS,AC-HBS-1
RS,AC-HBS-2
RS,AC-EHIS-1
RS,AB-EHIS-1
RS,AB-EHIS-2
RS,AB-EHIS-3
RS,IE-HBS-1
RS,IE-HBS-2
RS,IC-HBS-1
RS,IC-HBS-2
RS,RT-LFS-1
RS,RT-LFS-2
RS,RT-LFS-3
RS,TT-HBS-1
RS,TT-HBS-2
RS,TT-SILC-2
RS,TS-HBS-1
